original_description,variant_description,similarity_label
Loss of consciousness for brief periods.,I feel sharp pain in my jaw whenever I chew.,0
Frequent mood swings and irritability.,My mood changes quickly and I get irritated easily.,1
Frequent mood swings and irritability.,I've been coughing a lot and feel tightness in my chest.,0
Sudden sharp chest pain during deep breaths.,I get a sharp pain in my chest especially when I take a deep breath.,1
Sudden sharp chest pain during deep breaths.,My scalp itches and I have dandruff.,0
Chronic constipation with hard stools.,"I've had trouble going to the bathroom, and my stools are hard.",1
Chronic constipation with hard stools.,I get headaches in the morning that keep getting worse.,0
Severe back pain radiating to the legs.,My back hurts badly and the pain goes down my legs.,1
Severe back pain radiating to the legs.,My lymph nodes under my arms are swollen and painful.,0
Frequent urination during night hours.,I have to get up many times at night to pee.,1
Frequent urination during night hours.,My throat has been sore and my tonsils are swollen.,0
Sudden onset of high fever with chills.,I suddenly developed a high fever and started shaking with chills.,1
Sudden onset of high fever with chills.,I feel tired all the time but don't know why.,0
Persistent ringing or buzzing in the ears.,I keep hearing ringing or buzzing sounds in my ears that won't stop.,1
Persistent ringing or buzzing in the ears.,My feet and ankles swell by the end of the day.,0
Painful swelling of the feet and ankles.,"My feet and ankles are swollen and painful, making it hard to walk.",1
Painful swelling of the feet and ankles.,I sometimes get mild headaches when exposed to bright lights.,0
Difficulty concentrating and memory problems.,I can't focus or remember things like I used to.,1
Difficulty concentrating and memory problems.,My legs sometimes cramp up when I exercise.,0
Unexplained weight loss despite normal eating.,I've lost weight without trying even though I eat normally.,1
Unexplained weight loss despite normal eating.,"I have red, itchy skin patches that come and go.",0
Frequent nosebleeds with no clear cause.,My nose keeps bleeding even though I haven't been injured.,1
Frequent nosebleeds with no clear cause.,My hands go numb and tingle while I sleep.,0
Swelling of the thyroid gland in the neck.,My neck feels swollen because of an enlarged thyroid gland.,1
Swelling of the thyroid gland in the neck.,It hurts when I pee and I have to go often.,0
Persistent cough lasting over eight weeks.,I've had a cough that won't go away for more than two months.,1
Persistent cough lasting over eight weeks.,Sudden joint pain and swelling in my fingers.,0
Sudden weakness or numbness on one side of the body.,One side of my body suddenly feels weak and numb.,1
Sudden weakness or numbness on one side of the body.,My skin has been dry and cracked for a long time.,0
Yellowing of skin and eyes (jaundice).,My skin and the whites of my eyes have turned yellow.,1
Yellowing of skin and eyes (jaundice).,I keep sneezing and my nose is stuffy.,0
Difficulty breathing with wheezing.,I have trouble breathing and hear a wheezing sound.,1
Difficulty breathing with wheezing.,My eyelids twitch a lot.,0
Swollen painful gums bleeding easily.,"My gums are swollen, sore, and bleed easily.",1
Swollen painful gums bleeding easily.,I get dizzy sometimes when I stand up too fast.,0
Severe abdominal pain with vomiting and diarrhea.,My stomach hurts badly and I’m throwing up and having diarrhea.,1
Severe abdominal pain with vomiting and diarrhea.,I get headaches a lot when I'm stressed.,0
